Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
1946,16,275,29.7,4.01,3.46,2484,0.58,0.42,0.08,0.08,0.09,8.92,8.67,4.01,3.43,0.49,3.54,,3.89,0.13,0.01,0.14,38.24,101,1.369,.277,8.8,0.5,3.6,3.9,1.10,1.03
1945,16,236,30.2,4.18,3.58,2460,0.54,0.46,0.08,0.08,0.09,8.94,8.94,4.18,3.56,0.41,3.37,,3.27,0.14,0.02,0.15,38.51,101,1.377,.278,9.0,0.4,3.4,3.3,0.97,1.10
1944,16,226,29.8,4.17,3.52,2484,0.55,0.45,0.07,0.07,0.09,8.99,8.98,4.17,3.52,0.42,3.19,,3.29,0.14,0.02,0.16,38.51,101,1.354,.278,9.0,0.4,3.2,3.3,1.03,1.12
1943,16,219,29.7,3.91,3.33,2476,0.56,0.44,0.08,0.08,0.10,9.05,8.67,3.91,3.35,0.37,3.37,,3.46,0.13,0.02,0.14,38.41,100,1.331,.272,8.6,0.4,3.4,3.4,1.03,1.06
1942,16,215,29.0,4.08,3.48,2448,0.54,0.46,0.07,0.07,0.08,8.97,8.65,4.08,3.47,0.44,3.43,,3.40,0.14,0.02,0.16,38.37,101,1.346,.270,8.7,0.4,3.4,3.4,0.99,1.11
1941,16,228,29.0,4.49,3.89,2488,0.56,0.44,0.07,0.07,0.09,8.92,9.06,4.49,3.86,0.53,3.57,,3.55,0.12,0.01,0.19,38.78,101,1.416,.280,9.1,0.5,3.6,3.6,0.99,1.12
1940,16,224,29.0,4.68,4.11,2472,0.56,0.44,0.06,0.06,0.09,8.92,9.31,4.68,4.08,0.64,3.34,,3.66,0.14,0.02,0.18,38.80,100,1.418,.284,9.4,0.6,3.4,3.7,1.10,1.15
1939,16,229,29.0,4.82,4.27,2462,0.58,0.42,0.05,0.05,0.10,8.87,9.49,4.82,4.20,0.59,3.44,,3.46,0.14,0.02,0.18,38.96,100,1.459,.290,9.6,0.6,3.5,3.5,1.00,1.15
1938,16,214,28.9,4.89,4.28,2446,0.55,0.45,0.05,0.05,0.09,8.85,9.52,4.89,4.21,0.60,3.53,,3.41,0.14,0.02,0.17,38.98,100,1.474,.290,9.7,0.6,3.6,3.5,0.97,1.13
1937,16,208,29.0,4.87,4.27,2478,0.55,0.45,0.06,0.06,0.09,8.84,9.59,4.87,4.19,0.58,3.41,,3.63,0.13,0.02,0.16,38.79,100,1.470,.296,9.8,0.6,3.5,3.7,1.07,1.13
1936,16,207,28.7,5.20,4.52,2476,0.57,0.43,0.05,0.05,0.09,8.90,10.04,5.20,4.47,0.55,3.40,,3.33,0.17,0.02,0.22,39.52,100,1.509,.301,10.1,0.6,3.4,3.4,0.98,1.18
1935,16,201,28.5,4.90,4.24,2456,0.56,0.44,0.06,0.06,0.08,8.91,9.80,4.90,4.19,0.54,3.19,,3.26,0.16,0.02,0.17,39.16,101,1.457,.295,9.9,0.5,3.2,3.3,1.02,1.17
1934,16,202,28.8,4.90,4.28,2446,0.57,0.43,0.06,0.06,0.10,8.88,9.80,4.90,4.22,0.55,3.21,,3.45,0.14,0.02,0.17,39.05,100,1.466,.297,9.9,0.6,3.3,3.5,1.07,1.14
1933,16,184,29.4,4.48,3.81,2452,0.55,0.45,0.07,0.07,0.09,8.93,9.37,4.48,3.78,0.44,3.00,,3.04,0.14,0.01,0.16,38.62,100,1.384,.285,9.4,0.4,3.0,3.1,1.01,1.11
1932,16,196,29.1,4.91,4.18,2466,0.54,0.46,0.05,0.05,0.08,8.97,9.78,4.91,4.16,0.55,3.06,,3.19,0.15,0.02,0.15,39.17,101,1.430,.292,9.8,0.6,3.1,3.2,1.04,1.19
1931,16,189,29.2,4.81,4.12,2472,0.52,0.48,0.05,0.05,0.08,8.90,9.72,4.81,4.07,0.43,3.10,,3.20,0.15,0.02,0.14,38.94,100,1.442,.296,9.8,0.4,3.1,3.2,1.03,1.21
1930,16,199,28.9,5.55,4.81,2468,0.56,0.44,0.04,0.04,0.09,8.86,10.37,5.55,4.73,0.63,3.10,,3.21,0.16,0.01,0.15,39.39,100,1.521,.307,10.5,0.6,3.1,3.3,1.04,1.23
1929,16,206,29.3,5.19,4.48,2458,0.52,0.48,0.05,0.05,0.09,8.89,10.03,5.19,4.42,0.55,3.26,,2.86,0.16,0.02,0.14,39.21,100,1.494,.303,10.1,0.6,3.3,2.9,0.88,1.19
1928,16,210,29.1,4.72,4.01,2462,0.52,0.48,0.05,0.05,0.09,8.94,9.63,4.72,3.99,0.44,3.11,,2.88,0.19,0.01,0.12,38.78,100,1.426,.296,9.7,0.4,3.1,2.9,0.93,1.22
1927,16,210,29.2,4.75,4.02,2472,0.52,0.48,0.05,0.05,0.08,8.90,9.71,4.75,3.98,0.37,3.01,,2.79,0.20,0.02,0.14,38.66,101,1.428,.301,9.8,0.4,3.0,2.8,0.93,1.30
1926,16,198,29.0,4.63,3.92,2468,0.53,0.47,0.05,0.05,0.08,8.88,9.53,4.63,3.87,0.35,3.11,,2.76,0.19,0.02,0.13,38.52,100,1.423,.298,9.7,0.4,3.2,2.8,0.89,1.27
1925,16,207,29.1,5.13,4.33,2456,0.51,0.49,0.04,0.04,0.07,8.89,10.15,5.13,4.28,0.48,3.16,,2.72,0.20,0.01,0.14,39.19,100,1.497,.306,10.3,0.5,3.2,2.8,0.86,1.34
1924,16,218,28.4,4.75,4.05,2462,0.51,0.49,0.06,0.06,0.07,8.91,9.83,4.75,4.01,0.36,2.99,,2.69,0.22,0.02,0.14,38.73,100,1.439,.302,9.9,0.4,3.0,2.7,0.90,1.24
1923,16,206,28.3,4.81,3.99,2466,0.51,0.49,0.05,0.05,0.07,8.96,9.81,4.81,3.97,0.40,3.08,,2.84,0.25,0.02,0.14,39.00,100,1.439,.300,9.9,0.4,3.1,2.9,0.92,1.35
1922,16,207,27.7,4.86,4.06,2476,0.50,0.50,0.06,0.06,0.07,8.92,9.93,4.86,4.03,0.43,2.92,,2.80,0.25,0.02,0.15,38.84,100,1.439,.304,10.0,0.4,2.9,2.8,0.96,1.30
1921,16,202,27.6,4.85,4.03,2458,0.48,0.52,0.05,0.05,0.07,8.95,10.07,4.85,4.01,0.38,2.78,,2.83,0.23,0.02,0.15,38.89,100,1.435,.308,10.1,0.4,2.8,2.8,1.02,1.39
1920,16,208,27.7,4.36,3.46,2468,0.43,0.57,0.07,0.08,0.06,9.02,9.43,4.36,3.47,0.26,2.76,,2.95,0.22,0.02,0.17,37.73,101,1.352,.295,9.4,0.3,2.8,2.9,1.07,1.42
1919,16,197,27.6,3.87,3.07,2236,0.42,0.58,0.08,0.09,0.04,8.99,8.77,3.87,3.06,0.20,2.67,,3.07,0.24,0.02,0.17,37.00,101,1.272,.283,8.8,0.2,2.7,3.1,1.15,1.42
1918,16,203,27.2,3.63,2.77,2032,0.37,0.63,0.10,0.10,0.06,9.05,8.40,3.63,2.78,0.12,2.82,,2.89,0.23,0.01,0.15,37.27,101,1.239,.274,8.3,0.1,2.8,2.9,1.03,1.51
1917,16,175,26.7,3.58,2.68,2494,0.45,0.55,0.10,0.10,0.07,9.02,8.16,3.58,2.69,0.13,2.76,,3.46,0.23,0.02,0.17,36.53,101,1.210,.271,8.1,0.1,2.8,3.5,1.25,1.50
1916,16,187,26.6,3.56,2.72,2494,0.47,0.53,0.09,0.10,0.07,9.03,8.14,3.56,2.73,0.15,2.84,,3.82,0.25,0.02,0.20,36.48,101,1.217,.275,8.1,0.2,2.8,3.8,1.34,1.52
1915,24,285,26.7,3.81,2.90,3728,0.45,0.55,0.09,0.10,0.06,8.94,8.17,3.81,2.88,0.17,2.98,,3.79,0.27,0.02,0.20,36.34,101,1.248,.277,8.2,0.2,3.0,3.8,1.27,1.58
1914,24,264,26.5,3.86,2.91,3760,0.45,0.55,0.09,0.09,0.06,8.91,8.27,3.86,2.88,0.19,2.96,,3.98,0.27,0.01,0.21,36.38,101,1.261,.278,8.4,0.2,3.0,4.0,1.34,1.71
1913,16,229,26.3,4.04,3.07,2468,0.46,0.53,0.08,0.08,0.07,8.94,8.52,4.04,3.05,0.19,2.97,,3.83,0.28,0.02,0.21,36.81,100,1.285,.282,8.6,0.2,3.0,3.9,1.29,1.64
1912,16,238,26.5,4.52,3.37,2464,0.41,0.58,0.06,0.07,0.05,8.88,8.92,4.52,3.32,0.18,3.11,,3.97,0.29,0.02,0.23,37.22,101,1.355,,9.0,0.2,3.2,4.0,1.28,1.81
1911,16,213,26.8,4.51,3.36,2474,0.42,0.58,0.07,0.07,0.06,8.91,8.85,4.51,3.33,0.21,3.20,,4.00,0.34,0.02,0.22,37.00,100,1.352,,8.9,0.2,3.2,4.0,1.25,1.83
1910,16,202,27.1,3.84,2.77,2498,0.38,0.62,0.09,0.10,0.05,8.96,8.14,3.84,2.76,0.14,3.00,,3.88,0.32,0.01,0.22,35.97,101,1.243,,8.2,0.1,3.0,3.9,1.30,1.78
1909,16,203,27.0,3.55,2.53,2482,0.35,0.65,0.11,0.11,0.05,8.95,7.91,3.55,2.52,0.10,2.68,,3.77,0.31,0.02,0.23,35.69,101,1.184,,8.0,0.1,2.7,3.8,1.40,1.81
1908,16,172,27.9,3.38,2.37,2488,0.33,0.67,0.12,0.12,0.04,8.97,7.73,3.38,2.36,0.11,2.46,,3.66,0.31,0.01,0.19,35.59,101,1.137,,7.8,0.1,2.5,3.7,1.49,1.70
1907,16,161,28.1,3.53,2.50,2466,0.26,0.74,0.11,0.12,0.04,8.85,7.97,3.53,2.46,0.10,2.56,,3.53,0.31,0.01,0.19,35.48,101,1.190,,8.1,0.1,2.6,3.6,1.38,1.72
1906,16,155,27.9,3.62,2.66,2456,0.22,0.78,0.11,0.12,0.04,8.84,8.02,3.62,2.61,0.11,2.55,,3.70,0.31,0.01,0.19,35.64,100,1.196,,8.2,0.1,2.6,3.8,1.45,1.73
1905,16,144,27.6,3.90,2.82,2474,0.20,0.80,0.09,0.09,0.02,8.88,8.17,3.90,2.78,0.14,2.54,,3.87,0.34,0.01,0.22,35.96,101,1.205,,8.3,0.1,2.6,3.9,1.53,1.83
1904,16,129,27.5,3.73,2.66,2498,0.12,0.88,0.10,0.10,0.02,8.81,8.15,3.73,2.60,0.13,2.30,,3.72,0.32,0.02,0.20,35.84,100,1.186,,8.3,0.1,2.3,3.8,1.62,1.88
1903,16,141,27.2,4.44,3.11,2228,0.14,0.86,0.07,0.08,0.02,8.82,8.87,4.44,3.05,0.15,2.44,,3.58,0.34,0.01,0.20,36.64,100,1.284,,9.1,0.2,2.5,3.6,1.46,2.10
1902,16,160,26.6,4.43,3.17,2234,0.12,0.87,0.07,0.07,0.01,8.83,9.11,4.43,3.11,0.16,2.44,,2.98,0.34,0.01,0.18,36.96,101,1.307,,9.3,0.2,2.5,3.0,1.22,2.13
1901,16,139,26.4,4.99,3.49,2220,0.14,0.86,0.05,0.06,0.02,8.80,9.44,4.99,3.41,0.20,2.46,,3.14,0.39,0.01,0.21,37.62,100,1.352,,9.7,0.2,2.5,3.2,1.28,2.40
1900,8,70,27.1,5.21,3.69,1138,0.18,0.82,0.06,0.06,0.01,8.71,9.60,5.21,3.58,0.22,2.67,,2.37,0.47,0.01,0.19,37.54,100,1.408,,9.9,0.2,2.8,2.4,0.89,2.42
1899,12,119,26.3,5.24,3.85,1846,0.13,0.86,0.05,0.05,0.02,8.61,9.61,5.24,3.68,0.19,2.70,,2.09,0.48,0.03,0.20,37.28,100,1.430,,10.0,0.2,2.8,2.2,0.78,2.41
1898,12,113,25.8,4.96,3.60,1842,0.13,0.87,0.05,0.05,0.01,8.66,9.20,4.96,3.47,0.16,2.76,,2.31,0.48,0.01,0.21,37.30,101,1.382,,9.6,0.2,2.9,2.4,0.83,2.38
1897,12,98,25.6,5.88,4.30,1622,0.16,0.84,0.03,0.03,0.02,8.63,10.19,5.88,4.13,0.23,2.92,,2.30,0.46,0.00,0.25,38.35,100,1.518,,10.6,0.2,3.0,2.4,0.79,2.48
1896,12,108,25.8,6.04,4.36,1584,0.18,0.82,0.03,0.04,0.02,8.69,10.19,6.04,4.21,0.26,3.06,,2.22,0.40,0.00,0.26,38.60,100,1.526,,10.6,0.3,3.2,2.3,0.73,2.58
1895,12,105,25.4,6.58,4.77,1598,0.19,0.81,0.03,0.03,0.03,8.64,10.53,6.58,4.58,0.31,3.20,,2.27,0.42,0.00,0.25,39.20,100,1.590,,11.0,0.3,3.3,2.4,0.71,2.89
1894,12,115,25.3,7.38,5.33,1598,0.19,0.81,0.02,0.02,0.02,8.66,11.14,7.38,5.12,0.39,3.67,,2.09,0.38,0.00,0.31,40.12,100,1.712,,11.6,0.4,3.8,2.2,0.57,3.04
1893,12,98,25.2,6.57,4.66,1570,0.18,0.82,0.03,0.03,0.02,8.83,10.14,6.57,4.57,0.29,3.91,,2.13,0.41,0.00,0.33,40.59,100,1.591,,10.3,0.3,4.0,2.2,0.54,2.92
1892,12,92,25.3,5.09,3.28,1842,0.12,0.88,0.05,0.05,0.01,8.74,8.49,5.09,3.19,0.23,3.35,,3.25,0.30,0.00,0.33,38.37,100,1.355,,8.7,0.2,3.5,3.3,0.97,3.03
1891,17,126,24.7,5.70,3.53,2218,0.14,0.86,0.04,0.04,0.02,8.77,8.89,5.70,3.44,0.26,3.62,,3.45,0.44,0.00,0.46,39.12,100,1.426,,9.1,0.3,3.7,3.5,0.95,3.18
1890,25,186,24.6,6.02,3.88,3222,0.10,0.89,0.04,0.04,0.01,8.74,9.14,6.02,3.77,0.24,3.64,,3.40,0.42,0.01,0.50,39.26,100,1.461,,9.4,0.2,3.7,3.5,0.93,3.32
1889,16,122,24.6,5.96,3.93,2180,0.11,0.89,0.04,0.04,0.02,8.72,9.22,5.96,3.81,0.31,3.36,,3.53,0.36,0.00,0.52,38.77,100,1.442,,9.5,0.3,3.5,3.6,1.05,3.42
1888,16,117,24.1,4.87,2.95,2184,0.04,0.96,0.07,0.07,0.01,8.82,8.24,4.87,2.89,0.24,2.16,,3.77,0.38,0.00,0.61,37.11,100,1.180,,8.4,0.2,2.2,3.8,1.74,3.44
1887,16,130,24.4,6.34,4.17,2116,0.04,0.95,0.03,0.03,0.01,8.68,9.56,6.34,4.03,0.29,2.86,,2.80,0.35,0.00,0.61,38.48,100,1.430,,9.9,0.3,3.0,2.9,0.98,3.81
1886,16,131,24.9,5.47,3.37,2104,0.04,0.95,0.05,0.05,0.01,8.69,8.54,5.47,3.25,0.20,2.65,,4.30,0.15,0.00,0.70,37.53,100,1.288,,8.8,0.2,2.7,4.5,1.62,3.77
1885,16,108,24.6,5.22,3.03,1780,0.04,0.96,0.06,0.06,0.01,8.83,8.60,5.22,2.98,0.18,1.98,,3.77,0.19,0.02,0.68,37.42,100,1.198,,8.8,0.2,2.0,3.8,1.90,3.94
1884,33,204,24.2,5.42,3.11,3088,0.06,0.93,0.06,0.06,0.01,8.72,8.61,5.42,3.01,0.22,1.60,,4.80,0.15,0.00,0.71,37.36,100,1.170,,8.9,0.2,1.7,5.0,3.00,4.71
1883,16,86,25.2,5.75,3.22,1570,0.08,0.92,0.05,0.05,0.01,8.84,9.44,5.75,3.16,0.15,1.48,,3.37,,0.00,0.50,38.24,100,1.236,,9.6,0.2,1.5,3.4,2.27,4.88
1882,14,69,25.0,5.33,2.80,1144,0.05,0.94,0.06,0.06,0.00,8.87,9.03,5.33,2.76,0.16,1.39,,2.92,,0.00,0.52,37.56,100,1.175,,9.2,0.2,1.4,3.0,2.10,4.75
1881,8,29,23.5,5.10,2.77,672,0.06,0.94,0.08,0.08,0.00,8.91,9.42,5.10,2.75,0.11,1.54,,2.65,,0.01,0.51,37.81,100,1.230,,9.5,0.1,1.6,2.7,1.72,4.14
1880,8,32,22.7,4.69,2.37,680,0.11,0.89,0.07,0.08,0.02,8.87,8.74,4.69,2.34,0.09,1.09,,2.92,,0.00,0.43,36.83,101,1.108,,8.9,0.1,1.1,3.0,2.69,4.34
1879,8,25,23.0,5.31,2.50,642,0.05,0.95,0.07,0.07,0.00,9.03,9.61,5.31,2.50,0.09,0.79,,2.87,,0.00,0.57,38.42,100,1.152,,9.6,0.1,0.8,2.9,3.63,4.87
1878,6,21,21.9,5.17,2.30,368,0.04,0.96,0.07,0.07,0.00,9.03,9.61,5.17,2.31,0.06,0.99,,2.94,,0.00,0.64,38.09,100,1.174,,9.6,0.1,1.0,2.9,2.97,4.83
1877,6,19,24.2,5.67,2.81,360,0.09,0.91,0.06,0.06,0.01,9.00,10.29,5.67,2.81,0.07,0.96,,2.02,,0.00,0.56,38.91,100,1.250,,10.3,0.1,1.0,2.0,2.10,5.16
1876,8,34,24.4,5.90,2.31,520,0.09,0.91,0.09,0.09,0.03,9.11,10.27,5.90,2.34,0.08,0.65,,1.13,,0.00,0.36,39.49,101,1.197,,10.1,0.1,0.6,1.1,1.75,6.01
1875,13,42,24.3,6.14,2.23,690,0.10,0.90,0.07,0.07,0.03,8.97,9.87,6.14,2.22,0.06,0.36,,0.98,,0.01,0.48,39.25,101,1.141,,9.9,0.1,0.4,1.0,2.71,6.96
1874,8,17,24.7,7.48,2.19,464,0.05,0.95,0.03,0.03,0.01,8.99,11.26,7.48,2.19,0.09,0.51,,0.77,,0.00,0.27,41.69,100,1.310,,11.3,0.1,0.5,0.8,1.50,8.14
1873,9,25,23.5,8.99,3.40,398,0.09,0.91,0.02,0.02,0.02,9.01,12.38,8.99,3.40,0.12,0.84,,0.70,,0.00,0.31,43.45,100,1.468,,12.4,0.1,0.8,0.7,0.83,8.02
1872,11,21,22.7,9.26,3.66,366,0.11,0.89,0.03,0.03,0.02,8.98,12.20,9.26,3.65,0.10,0.72,,0.72,,0.01,0.55,43.52,100,1.439,,12.2,0.1,0.7,0.7,1.01,7.50
1871,9,19,24.6,10.47,4.22,254,0.09,0.91,0.02,0.02,0.02,8.86,12.21,10.47,4.15,0.19,1.55,,0.69,,0.01,0.82,44.15,100,1.553,,12.4,0.2,1.6,0.7,0.45,7.61